template,asset,phase,phase_start,phase_end,candle_count,return_percent,max_drawdown_percent,trade_count,first_iso,last_iso,insufficient_data
dip_buy,ETH,validate,2024-01-01,2024-12-31,8784,3.1448,5.4354,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
dip_buy,ETH,forward,2025-01-01,2026-05-06,11770,-2.8573,8.7175,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
dip_buy,XRP,train,2020-01-01,2023-12-31,23246,-6.0226,8.7981,1,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
dip_buy,XRP,validate,2024-01-01,2024-12-31,8784,10.0636,5.4574,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
dip_buy,XRP,forward,2025-01-01,2026-05-06,11770,-4.1765,14.1379,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
dip_buy,BNB,train,2020-01-01,2023-12-31,23246,-4.9555,7.9309,1,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
dip_buy,BNB,validate,2024-01-01,2024-12-31,8784,6.5873,4.8779,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
dip_buy,BNB,forward,2025-01-01,2026-05-06,11770,-1.0429,11.4576,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
dip_buy,PAXG,train,2020-01-01,2023-12-31,23246,1.0141,2.4551,1,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
dip_buy,PAXG,validate,2024-01-01,2024-12-31,8784,3.234,3.0226,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
dip_buy,PAXG,forward,2025-01-01,2026-05-06,11770,10.6806,6.1925,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
full_entry_exit,BTC,train,2020-01-01,2023-12-31,23246,-8.792,13.336,2,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
