template,asset,regime,regime_label,regime_start,regime_end,candle_count,return_percent,max_drawdown_percent,trade_count,first_iso,last_iso,insufficient_data
breakout_buy,BTC,btc_bear_2022,BTC bear (ATH → 16k),2021-11-10,2022-12-31,10008,0.0,0.0,0,2021-11-10T00:00:00+00:00,2022-12-31T23:00:00+00:00,False
breakout_buy,BTC,btc_range_2023,BTC range (16k–30k consolidation),2023-01-01,2023-09-30,6551,0.0,0.0,0,2023-01-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,False
breakout_buy,BTC,btc_high_vol_2024,BTC high-vol (ETF approval shock),2024-01-01,2024-04-30,2904,0.0,0.0,0,2024-01-01T00:00:00+00:00,2024-04-30T23:00:00+00:00,False
breakout_buy,BTC,btc_low_vol_2023h2,BTC low-vol (slow climb),2023-09-01,2023-12-31,2928,0.0,0.0,0,2023-09-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,False
breakout_buy,ETH,btc_bull_2020_2021,BTC bull (covid bottom → ATH),2020-04-01,2021-11-09,4479,0.0,0.0,0,2021-05-07T03:00:00+00:00,2021-11-09T23:00:00+00:00,False
breakout_buy,ETH,btc_bear_2022,BTC bear (ATH → 16k),2021-11-10,2022-12-31,10008,0.0,0.0,0,2021-11-10T00:00:00+00:00,2022-12-31T23:00:00+00:00,False
breakout_buy,ETH,btc_range_2023,BTC range (16k–30k consolidation),2023-01-01,2023-09-30,6551,0.0,0.0,0,2023-01-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,False
breakout_buy,ETH,btc_high_vol_2024,BTC high-vol (ETF approval shock),2024-01-01,2024-04-30,2904,0.0,0.0,0,2024-01-01T00:00:00+00:00,2024-04-30T23:00:00+00:00,False
breakout_buy,ETH,btc_low_vol_2023h2,BTC low-vol (slow climb),2023-09-01,2023-12-31,2928,0.0,0.0,0,2023-09-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,False
breakout_buy,XRP,btc_bull_2020_2021,BTC bull (covid bottom → ATH),2020-04-01,2021-11-09,4479,0.0,0.0,0,2021-05-07T03:00:00+00:00,2021-11-09T23:00:00+00:00,False
breakout_buy,XRP,btc_bear_2022,BTC bear (ATH → 16k),2021-11-10,2022-12-31,10008,0.0,0.0,0,2021-11-10T00:00:00+00:00,2022-12-31T23:00:00+00:00,False
breakout_buy,XRP,btc_range_2023,BTC range (16k–30k consolidation),2023-01-01,2023-09-30,6551,0.0,0.0,0,2023-01-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,False
breakout_buy,XRP,btc_high_vol_2024,BTC high-vol (ETF approval shock),2024-01-01,2024-04-30,2904,0.0,0.0,0,2024-01-01T00:00:00+00:00,2024-04-30T23:00:00+00:00,False
breakout_buy,XRP,btc_low_vol_2023h2,BTC low-vol (slow climb),2023-09-01,2023-12-31,2928,0.0,0.0,0,2023-09-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,False
breakout_buy,BNB,btc_bull_2020_2021,BTC bull (covid bottom → ATH),2020-04-01,2021-11-09,4479,0.0,0.0,0,2021-05-07T03:00:00+00:00,2021-11-09T23:00:00+00:00,False
breakout_buy,BNB,btc_bear_2022,BTC bear (ATH → 16k),2021-11-10,2022-12-31,10008,0.0,0.0,0,2021-11-10T00:00:00+00:00,2022-12-31T23:00:00+00:00,False
breakout_buy,BNB,btc_range_2023,BTC range (16k–30k consolidation),2023-01-01,2023-09-30,6551,0.0,0.0,0,2023-01-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,False
breakout_buy,BNB,btc_high_vol_2024,BTC high-vol (ETF approval shock),2024-01-01,2024-04-30,2904,0.0,0.0,0,2024-01-01T00:00:00+00:00,2024-04-30T23:00:00+00:00,False
breakout_buy,BNB,btc_low_vol_2023h2,BTC low-vol (slow climb),2023-09-01,2023-12-31,2928,0.0,0.0,0,2023-09-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,False
breakout_buy,PAXG,btc_bull_2020_2021,BTC bull (covid bottom → ATH),2020-04-01,2021-11-09,4479,0.0,0.0,0,2021-05-07T03:00:00+00:00,2021-11-09T23:00:00+00:00,False
breakout_buy,PAXG,btc_bear_2022,BTC bear (ATH → 16k),2021-11-10,2022-12-31,10008,0.0,0.0,0,2021-11-10T00:00:00+00:00,2022-12-31T23:00:00+00:00,False
breakout_buy,PAXG,btc_range_2023,BTC range (16k–30k consolidation),2023-01-01,2023-09-30,6551,0.0,0.0,0,2023-01-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,False
breakout_buy,PAXG,btc_high_vol_2024,BTC high-vol (ETF approval shock),2024-01-01,2024-04-30,2904,0.0,0.0,0,2024-01-01T00:00:00+00:00,2024-04-30T23:00:00+00:00,False
breakout_buy,PAXG,btc_low_vol_2023h2,BTC low-vol (slow climb),2023-09-01,2023-12-31,2928,0.0,0.0,0,2023-09-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,False
dip_buy,BTC,btc_bull_2020_2021,BTC bull (covid bottom → ATH),2020-04-01,2021-11-09,4479,2.0172,5.3664,1,2021-05-07T03:00:00+00:00,2021-11-09T23:00:00+00:00,False
dip_buy,BTC,btc_bear_2022,BTC bear (ATH → 16k),2021-11-10,2022-12-31,10008,-8.8693,9.2876,0,2021-11-10T00:00:00+00:00,2022-12-31T23:00:00+00:00,False
dip_buy,BTC,btc_range_2023,BTC range (16k–30k consolidation),2023-01-01,2023-09-30,6551,2.0126,1.2345,0,2023-01-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,False
dip_buy,BTC,btc_high_vol_2024,BTC high-vol (ETF approval shock),2024-01-01,2024-04-30,2904,3.3426,2.4827,0,2024-01-01T00:00:00+00:00,2024-04-30T23:00:00+00:00,False
dip_buy,BTC,btc_low_vol_2023h2,BTC low-vol (slow climb),2023-09-01,2023-12-31,2928,3.0737,0.7001,0,2023-09-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,False
dip_buy,ETH,btc_bull_2020_2021,BTC bull (covid bottom → ATH),2020-04-01,2021-11-09,4479,3.8184,7.4083,1,2021-05-07T03:00:00+00:00,2021-11-09T23:00:00+00:00,False
dip_buy,ETH,btc_bear_2022,BTC bear (ATH → 16k),2021-11-10,2022-12-31,10008,-9.9109,11.0446,0,2021-11-10T00:00:00+00:00,2022-12-31T23:00:00+00:00,False
dip_buy,ETH,btc_range_2023,BTC range (16k–30k consolidation),2023-01-01,2023-09-30,6551,1.489,1.7857,0,2023-01-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,False
dip_buy,ETH,btc_high_vol_2024,BTC high-vol (ETF approval shock),2024-01-01,2024-04-30,2904,2.1676,3.3121,0,2024-01-01T00:00:00+00:00,2024-04-30T23:00:00+00:00,False
dip_buy,ETH,btc_low_vol_2023h2,BTC low-vol (slow climb),2023-09-01,2023-12-31,2928,1.9352,0.7674,0,2023-09-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,False
dip_buy,XRP,btc_bull_2020_2021,BTC bull (covid bottom → ATH),2020-04-01,2021-11-09,4479,-1.8882,7.3591,1,2021-05-07T03:00:00+00:00,2021-11-09T23:00:00+00:00,False
dip_buy,XRP,btc_bear_2022,BTC bear (ATH → 16k),2021-11-10,2022-12-31,10008,-5.9346,6.7699,0,2021-11-10T00:00:00+00:00,2022-12-31T23:00:00+00:00,False
dip_buy,XRP,btc_range_2023,BTC range (16k–30k consolidation),2023-01-01,2023-09-30,6551,1.2334,2.5253,0,2023-01-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,False
dip_buy,XRP,btc_high_vol_2024,BTC high-vol (ETF approval shock),2024-01-01,2024-04-30,2904,-0.7928,2.0595,0,2024-01-01T00:00:00+00:00,2024-04-30T23:00:00+00:00,False
dip_buy,XRP,btc_low_vol_2023h2,BTC low-vol (slow climb),2023-09-01,2023-12-31,2928,0.7278,0.9877,0,2023-09-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,False
